time_block,EXPECTED_TIME_TO_SERVE_COMPOSITION,REAL_TIME_TO_SERVE_COMPOSITION,CLIENT_AGENT,SERVICES_ENGAGED
"2013-08-22 14_28_02","637","1097","72",";7;1"
"2013-08-22 14_28_02","769","2098","64",";7;2"
"2013-08-22 14_28_03","595","11194","68",";3;9"
"2013-08-22 14_28_03","747","3228","61",";7;6"
"2013-08-22 14_28_03","637","1597","95",";7;1"
"2013-08-22 14_28_03","769","2402","71",";7;2"
"2013-08-22 14_28_03","595","11693","83",";3;9"
"2013-08-22 14_28_03","706","1801","91",";8;1"
"2013-08-22 14_28_04","838","2898","78",";8;2"
"2013-08-22 14_28_04","595","12194","77",";3;9"
"2013-08-22 14_28_04","637","2001","69",";7;1"
"2013-08-22 14_28_04","769","3397","46",";7;2"
"2013-08-22 14_28_04","1297","928","86",";7;6"
"2013-08-22 14_28_04","595","12693","79",";3;9"
"2013-08-22 14_28_04","706","2599","42",";8;1"
"2013-08-22 14_28_05","595","13194","24",";3;9"
"2013-08-22 14_28_05","1297","1524","20",";7;6"
"2013-08-22 14_28_05","637","2801","94",";7;1"
"2013-08-22 14_28_05","595","13693","67",";3;9"
"2013-08-22 14_28_05","637","3098","106",";7;1"
"2013-08-22 14_28_06","1297","2024","57",";7;6"
"2013-08-22 14_28_06","595","14194","11",";3;9"
"2013-08-22 14_28_06","637","3401","100",";7;1"
"2013-08-22 14_28_06","747","2323","23",";7;6"
"2013-08-22 14_28_06","595","14693","97",";3;9"
"2013-08-22 14_28_06","861","1001","69",";4;2"
"2013-08-22 14_28_06","637","3702","101",";7;1"
"2013-08-22 14_28_07","816","2724","64",";8;6"
"2013-08-22 14_28_07","595","15194","103",";3;9"
"2013-08-22 14_28_07","706","4098","99",";8;1"
"2013-08-22 14_28_07","838","1788","77",";8;2"
"2013-08-22 14_28_07","747","3424","70",";7;6"
"2013-08-22 14_28_07","595","15693","17",";3;9"
"2013-08-22 14_28_07","1077","4297","27",";7;1"
"2013-08-22 14_28_08","838","1901","86",";8;2"
"2013-08-22 14_28_08","595","16194","110",";3;9"
"2013-08-22 14_28_08","816","3922","72",";8;6"
"2013-08-22 14_28_08","838","2498","46",";8;2"
"2013-08-22 14_28_08","595","16687","90",";3;9"
"2013-08-22 14_28_09","747","4215","68",";7;6"
"2013-08-22 14_28_09","1517","989","97",";7;1"
"2013-08-22 14_28_09","769","2401","94",";7;2"
"2013-08-22 14_28_09","595","17187","13",";3;9"
"2013-08-22 14_28_09","747","4728","61",";7;6"
"2013-08-22 14_28_09","1077","1301","69",";7;1"
"2013-08-22 14_28_09","595","17686","31",";3;9"
"2013-08-22 14_28_09","861","3098","20",";4;2"
"2013-08-22 14_28_10","747","5223","95",";7;6"
"2013-08-22 14_28_10","1077","1802","101",";7;1"
"2013-08-22 14_28_10","595","18186","88",";3;9"
"2013-08-22 14_28_10","838","4289","79",";8;2"
"2013-08-22 14_28_10","729","1798","99",";4;1"
"2013-08-22 14_28_10","816","5514","83",";8;6"
"2013-08-22 14_28_10","595","18687","26",";3;9"
"2013-08-22 14_28_11","769","3889","67",";7;2"
"2013-08-22 14_28_11","1077","2598","64",";7;1"
"2013-08-22 14_28_11","595","19187","59",";3;9"
"2013-08-22 14_28_11","747","6328","71",";7;6"
"2013-08-22 14_28_11","838","5298","42",";8;2"
"2013-08-22 14_28_11","1077","2987","103",";7;1"
"2013-08-22 14_28_11","595","19686","66",";3;9"
"2013-08-22 14_28_12","816","6528","91",";8;6"
"2013-08-22 14_28_12","706","2999","70",";8;1"
"2013-08-22 14_28_12","769","4898","57",";7;2"
"2013-08-22 14_28_12","595","20186","75",";3;9"
"2013-08-22 14_28_12","816","6924","78",";8;6"
"2013-08-22 14_28_12","729","3788","77",";4;1"
"2013-08-22 14_28_12","595","20686","53",";3;9"
"2013-08-22 14_28_12","769","5498","106",";7;2"
"2013-08-22 14_28_13","2947","2129","61",";7;6"
"2013-08-22 14_28_13","706","3991","17",";8;1"
"2013-08-22 14_28_13","595","21185","108",";3;9"
"2013-08-22 14_28_13","838","6790","24",";8;2"
"2013-08-22 14_28_13","706","4298","27",";8;1"
"2013-08-22 14_28_13","2947","2506","31",";7;6"
"2013-08-22 14_28_13","595","21683","96",";3;9"
"2013-08-22 14_28_14","769","6389","11",";7;2"
"2013-08-22 14_28_14","706","4601","86",";8;1"
"2013-08-22 14_28_14","595","22182","44",";3;9"
"2013-08-22 14_28_14","2947","2923","20",";7;6"
"2013-08-22 14_28_14","1341","6801","100",";7;2"
"2013-08-22 14_28_14","706","4989","110",";8;1"
"2013-08-22 14_28_14","595","22682","54",";3;9"
"2013-08-22 14_28_15","2397","3323","95",";7;6"
"2013-08-22 14_28_15","1190","4589","97",";5;1"
"2013-08-22 14_28_15","1341","7298","23",";7;2"
"2013-08-22 14_28_15","595","23182","32",";3;9"
"2013-08-22 14_28_15","2397","3828","101",";7;6"
"2013-08-22 14_28_15","1957","4981","13",";7;1"
"2013-08-22 14_28_15","595","23682","104",";3;9"
"2013-08-22 14_28_15","3026","2098","57",";3;2"
"2013-08-22 14_28_16","1939","3924","99",";4;6"
"2013-08-22 14_28_16","706","6398","72",";8;1"
"2013-08-22 14_28_16","595","24180","85",";3;9"
"2013-08-22 14_28_16","3026","2498","78",";3;2"
"2013-08-22 14_28_16","1957","5901","94",";7;1"
"2013-08-22 14_28_16","2397","5006","88",";7;6"
"2013-08-22 14_28_16","595","24677","107",";3;9"
"2013-08-22 14_28_17","3026","2988","77",";3;2"
"2013-08-22 14_28_17","706","7000","46",";8;1"
"2013-08-22 14_28_17","595","25177","80",";3;9"
"2013-08-22 14_28_17","2397","5415","79",";7;6"
"2013-08-22 14_28_17","2837","6501","69",";7;1"
"2013-08-22 14_28_17","3026","3481","53",";3;2"
"2013-08-22 14_28_17","595","25676","45",";3;9"
"2013-08-22 14_28_18","1939","5716","83",";4;6"
"2013-08-22 14_28_18","706","7982","90",";8;1"
"2013-08-22 14_28_18","2454","3898","106",";3;2"
"2013-08-22 14_28_18","595","26176","25",";3;9"
"2013-08-22 14_28_18","1939","6307","26",";4;6"
"2013-08-22 14_28_18","1146","8289","68",";8;1"
"2013-08-22 14_28_18","595","26678","82",";3;9"
"2013-08-22 14_28_18","2454","4300","61",";3;2"
"2013-08-22 14_28_19","1916","6015","103",";8;6"
"2013-08-22 14_28_19","3346","2478","32",";8;1"
"2013-08-22 14_28_19","595","27175","93",";3;9"
"2013-08-22 14_28_19","1913","4298","27",";7;2"
"2013-08-22 14_28_19","3346","2898","23",";8;1"
"2013-08-22 14_28_19","1939","7215","67",";4;6"
"2013-08-22 14_28_19","595","27674","15",";3;9"
"2013-08-22 14_28_20","2454","5489","17",";3;2"
"2013-08-22 14_28_20","2806","3080","13",";3;1"
"2013-08-22 14_28_20","595","28176","60",";3;9"
"2013-08-22 14_28_20","2366","6927","91",";3;6"
"2013-08-22 14_28_20","1913","5481","31",";7;2"
"2013-08-22 14_28_20","2806","3478","104",";3;1"
"2013-08-22 14_28_20","595","28675","48",";3;9"
"2013-08-22 14_28_21","2466","7723","42",";8;6"
"2013-08-22 14_28_21","3346","4201","101",";8;1"
"2013-08-22 14_28_21","2454","6582","108",";3;2"
"2013-08-22 14_28_21","595","29174","98",";3;9"
"2013-08-22 14_28_21","1939","8824","64",";4;6"
"2013-08-22 14_28_21","3277","5089","97",";7;1"
"2013-08-22 14_28_21","595","29673","87",";3;9"
"2013-08-22 14_28_21","1913","6682","96",";7;2"
"2013-08-22 14_28_22","2916","8423","70",";3;6"
"2013-08-22 14_28_22","2806","4798","57",";3;1"
"2013-08-22 14_28_22","595","30167","38",";3;9"
"2013-08-22 14_28_22","1882","7588","24",";3;2"
"2013-08-22 14_28_22","2366","5190","99",";3;1"
"2013-08-22 14_28_22","2466","9572","66",";8;6"
"2013-08-22 14_28_22","595","30667","92",";3;9"
"2013-08-22 14_28_23","1341","7588","11",";7;2"
"2013-08-22 14_28_23","2366","5498","72",";3;1"
"2013-08-22 14_28_23","595","31168","35",";3;9"
"2013-08-22 14_28_23","1389","10607","59",";4;6"
"2013-08-22 14_28_23","1341","8000","86",";7;2"
"2013-08-22 14_28_23","2366","5978","85",";3;1"
"2013-08-22 14_28_23","595","31666","105",";3;9"
"2013-08-22 14_28_24","2916","10206","75",";3;6"
"2013-08-22 14_28_24","2366","6198","78",";3;1"
"2013-08-22 14_28_24","1913","8578","44",";7;2"
"2013-08-22 14_28_24","595","32166","22",";3;9"
"2013-08-22 14_28_24","1939","11728","71",";4;6"
"2013-08-22 14_28_24","1926","6501","94",";3;1"
"2013-08-22 14_28_24","595","32666","43",";3;9"
"2013-08-22 14_28_24","1913","9098","20",";7;2"
"2013-08-22 14_28_25","5216","4514","103",";8;6"
"2013-08-22 14_28_25","1926","6981","88",";3;1"
"2013-08-22 14_28_25","595","33168","84",";3;9"
"2013-08-22 14_28_25","2485","9389","110",";7;2"
"2013-08-22 14_28_25","2466","6998","46",";8;1"
"2013-08-22 14_28_25","5116","4998","93",";3;6"
"2013-08-22 14_28_25","595","33667","39",";3;9"
"2013-08-22 14_28_26","2485","9901","100",";7;2"
"2013-08-22 14_28_26","1926","7973","107",";3;1"
"2013-08-22 14_28_26","595","34164","102",";3;9"
"2013-08-22 14_28_26","5216","5700","32",";8;6"
"2013-08-22 14_28_26","2485","10477","54",";7;2"
"2013-08-22 14_28_26","2906","7889","79",";8;1"
"2013-08-22 14_28_26","595","34664","14",";3;9"
"2013-08-22 14_28_27","5116","5924","27",";3;6"
"2013-08-22 14_28_27","2366","8688","77",";3;1"
"2013-08-22 14_28_27","3057","10898","95",";7;2"
"2013-08-22 14_28_27","595","35163","62",";3;9"
"2013-08-22 14_28_27","5697","7128","61",";7;6"
"2013-08-22 14_28_27","4157","8582","53",";7;1"
"2013-08-22 14_28_27","595","35668","12",";3;9"
"2013-08-22 14_28_27","5917","4897","64",";7;2"
"2013-08-22 14_28_28","4566","6922","23",";3;6"
"2013-08-22 14_28_28","2806","9473","80",";3;1"
"2013-08-22 14_28_28","595","36164","37",";3;9"
"2013-08-22 14_28_28","5917","5390","97",";7;2"
"2013-08-22 14_28_28","4157","9501","69",";7;1"
"2013-08-22 14_28_28","4566","7513","67",";3;6"
"2013-08-22 14_28_28","595","36659","89",";3;9"
"2013-08-22 14_28_29","5917","5874","87",";7;2"
"2013-08-22 14_28_29","4157","9973","45",";7;1"
"2013-08-22 14_28_29","595","37158","50",";3;9"
"2013-08-22 14_28_29","4566","8093","15",";3;6"
"2013-08-22 14_28_29","4597","10290","83",";7;1"
"2013-08-22 14_28_29","5345","6382","96",";7;2"
"2013-08-22 14_28_29","595","37660","74",";3;9"
"2013-08-22 14_28_30","4566","8415","17",";3;6"
"2013-08-22 14_28_30","4597","10581","90",";7;1"
"2013-08-22 14_28_30","5345","6698","70",";7;2"
"2013-08-22 14_28_30","595","38161","41",";3;9"
"2013-08-22 14_28_30","4566","8906","13",";3;6"
"2013-08-22 14_28_30","5037","10974","25",";7;1"
"2013-08-22 14_28_30","595","38659","81",";3;9"
"2013-08-22 14_28_30","4842","6698","99",";8;2"
"2013-08-22 14_28_31","4016","9399","60",";3;6"
"2013-08-22 14_28_31","5037","11398","106",";7;1"
"2013-08-22 14_28_31","595","39161","76",";3;9"
"2013-08-22 14_28_31","5345","7793","57",";7;2"
"2013-08-22 14_28_31","5477","11680","26",";7;1"
"2013-08-22 14_28_31","4016","9928","91",";3;6"
"2013-08-22 14_28_31","595","39659","56",";3;9"
"2013-08-22 14_28_32","5345","8364","38",";7;2"
"2013-08-22 14_28_32","5477","12090","68",";7;1"
"2013-08-22 14_28_32","595","40157","52",";3;9"
"2013-08-22 14_28_32","4016","10206","31",";3;6"
"2013-08-22 14_28_32","5477","12473","82",";7;1"
"2013-08-22 14_28_32","4842","8481","66",";8;2"
"2013-08-22 14_28_32","595","40660","40",";3;9"
"2013-08-22 14_28_33","5697","10135","101",";7;6"
"2013-08-22 14_28_33","7237","7000","94",";7;1"
"2013-08-22 14_28_33","4170","8598","72",";3;2"
"2013-08-22 14_28_33","595","41155","58",";3;9"
"2013-08-22 14_28_33","4016","11401","104",";3;6"
"2013-08-22 14_28_33","7237","7464","43",";7;1"
"2013-08-22 14_28_33","595","41655","19",";3;9"
"2013-08-22 14_28_33","4773","9989","24",";7;2"
"2013-08-22 14_28_34","5697","11335","108",";7;6"
"2013-08-22 14_28_34","7237","7798","20",";7;1"
"2013-08-22 14_28_34","595","42154","47",";3;9"
"2013-08-22 14_28_34","4842","10263","92",";8;2"
"2013-08-22 14_28_34","6797","8090","103",";7;1"
"2013-08-22 14_28_34","4016","12498","48",";3;6"
"2013-08-22 14_28_34","595","42654","63",";3;9"
"2013-08-22 14_28_35","4170","10363","35",";3;2"
"2013-08-22 14_28_35","6797","8580","88",";7;1"
"2013-08-22 14_28_35","595","43154","28",";3;9"
"2013-08-22 14_28_35","5697","12535","98",";7;6"
"2013-08-22 14_28_35","4170","10882","59",";3;2"
"2013-08-22 14_28_35","6797","8964","84",";7;1"
"2013-08-22 14_28_35","595","43654","65",";3;9"
"2013-08-22 14_28_36","4566","13523","42",";3;6"
"2013-08-22 14_28_36","6797","9289","110",";7;1"
"2013-08-22 14_28_36","4270","11789","11",";8;2"
"2013-08-22 14_28_36","595","44156","55",";3;9"
"2013-08-22 14_28_36","7866","7527","61",";3;6"
"2013-08-22 14_28_36","6357","9497","46",";7;1"
"2013-08-22 14_28_36","595","44653","21",";3;9"
"2013-08-22 14_28_36","4170","11778","85",";3;2"
"2013-08-22 14_28_37","7416","7523","23",";8;6"
"2013-08-22 14_28_37","6357","9973","93",";7;1"
"2013-08-22 14_28_37","595","45152","109",";3;9"
"2013-08-22 14_28_37","4742","12301","86",";3;2"
"2013-08-22 14_28_37","5986","9963","102",";8;1"
"2013-08-22 14_28_37","7866","8488","12",";3;6"
"2013-08-22 14_28_37","595","45652","51",";3;9"
"2013-08-22 14_28_38","4742","12864","105",";3;2"
"2013-08-22 14_28_38","6357","10963","39",";7;1"
"2013-08-22 14_28_38","595","46153","36",";3;9"
"2013-08-22 14_28_38","7347","8414","97",";7;6"
"2013-08-22 14_28_38","5314","13282","75",";3;2"
"2013-08-22 14_28_38","6326","10589","79",";3;1"
"2013-08-22 14_28_38","595","46620","49",";3;9"
"2013-08-22 14_28_39","7416","9298","80",";8;6"
"2013-08-22 14_28_39","5917","11601","100",";7;1"
"2013-08-22 14_28_39","5314","13599","78",";3;2"
"2013-08-22 14_28_39","595","47121","34",";3;9"
"2013-08-22 14_28_39","7866","10123","64",";3;6"
"2013-08-22 14_28_39","6426","11878","32",";8;1"
"2013-08-22 14_28_39","595","47620","33",";3;9"
"2013-08-22 14_28_39","5314","14178","44",";3;2"
"2013-08-22 14_28_40","6797","9929","69",";7;6"
"2013-08-22 14_28_40","6326","12078","54",";3;1"
"2013-08-22 14_28_40","595","48121","16",";3;9"
"2013-08-22 14_28_40","5314","14763","22",";3;2"
"2013-08-22 14_28_40","5917","13072","107",";7;1"
"2013-08-22 14_28_40","7416","10989","37",";8;6"
"2013-08-22 14_28_40","595","48621","18",";3;9"
"2013-08-22 14_28_41","7030","15101","71",";3;2"
"2013-08-22 14_28_41","6766","12964","14",";3;1"
"2013-08-22 14_28_41","595","49120","30",";3;9"
"2013-08-22 14_28_41","6797","11114","67",";7;6"
"2013-08-22 14_28_41","7206","13299","27",";3;1"
"2013-08-22 14_28_41","9890","9299","99",";3;2"
"2013-08-22 14_28_41","595","49621","29",";3;9"
"2013-08-22 14_28_42","6797","11681","89",";7;6"
"2013-08-22 14_28_42","7206","13588","77",";3;1"
"2013-08-22 14_28_42","9890","9674","60",";3;2"
"2013-08-22 14_28_42","595","50120","73",";3;9"
"2013-08-22 14_28_42","6797","11999","87",";7;6"
"2013-08-22 14_28_42","7206","13964","62",";3;1"
"2013-08-22 14_28_42","10033","10560","81",";3;9"
"2013-08-22 14_28_42","9318","9898","57",";3;2"
"2013-08-22 14_28_43","6797","12498","45",";7;6"
"2013-08-22 14_28_43","7646","14398","95",";3;1"
"2013-08-22 14_28_43","9604","10602","106",";3;9"
"2013-08-22 14_28_43","8777","9889","68",";7;2"
"2013-08-22 14_28_43","7646","14581","53",";3;1"
"2013-08-22 14_28_43","6247","12981","50",";7;6"
"2013-08-22 14_28_43","9275","10607","91",";8;9"
"2013-08-22 14_28_44","9318","10980","26",";3;2"
"2013-08-22 14_28_44","8966","8952","19",";3;1"
"2013-08-22 14_28_44","9604","11561","76",";3;9"
"2013-08-22 14_28_44","6247","13499","15",";7;6"
"2013-08-22 14_28_44","8966","9389","24",";3;1"
"2013-08-22 14_28_44","8777","10957","52",";7;2"
"2013-08-22 14_28_44","9275","11561","56",";8;9"
"2013-08-22 14_28_45","6247","13815","83",";7;6"
"2013-08-22 14_28_45","8526","9580","108",";3;1"
"2013-08-22 14_28_45","8846","11764","38",";8;2"
"2013-08-22 14_28_45","8348","10607","94",";7;9"
"2013-08-22 14_28_45","8416","13906","90",";3;6"
"2013-08-22 14_28_45","8526","9998","20",";3;1"
"2013-08-22 14_28_45","8348","11060","58",";7;9"
"2013-08-22 14_28_45","8777","12082","31",";7;2"
"2013-08-22 14_28_46","6797","15006","96",";7;6"
"2013-08-22 14_28_46","8526","10451","47",";3;1"
"2013-08-22 14_28_46","8348","11502","72",";7;9"
"2013-08-22 14_28_46","8205","12380","66",";7;2"
"2013-08-22 14_28_46","8526","10764","92",";3;1"
"2013-08-22 14_28_46","8966","14982","41",";3;6"
"2013-08-22 14_28_46","8777","9055","55",";7;9"
"2013-08-22 14_28_47","8205","12973","82",";7;2"
"2013-08-22 14_28_47","8086","11089","103",";3;1"
"2013-08-22 14_28_47","8777","9307","61",";7;9"
"2013-08-22 14_28_47","6797","16081","74",";7;6"
"2013-08-22 14_28_47","8086","11473","48",";3;1"
"2013-08-22 14_28_47","8205","13456","40",";7;2"
"2013-08-22 14_28_47","8348","9602","46",";7;9"
"2013-08-22 14_28_48","9516","16123","70",";3;6"
"2013-08-22 14_28_48","7746","11452","28",";8;1"
"2013-08-22 14_28_48","8205","13902","101",";7;2"
"2013-08-22 14_28_48","8348","10056","21",";7;9"
"2013-08-22 14_28_48","6797","17114","17",";7;6"
"2013-08-22 14_28_48","8086","12451","63",";3;1"
"2013-08-22 14_28_48","7888","10056","109",";3;9"
"2013-08-22 14_28_48","8777","13878","104",";7;2"
"2013-08-22 14_28_49","10066","17106","13",";3;6"
"2013-08-22 14_28_49","8086","12663","35",";3;1"
"2013-08-22 14_28_49","8348","10983","85",";7;9"
"2013-08-22 14_28_49","8777","14363","43",";7;2"
"2013-08-22 14_28_49","7746","12873","98",";8;1"
"2013-08-22 14_28_49","10066","17597","25",";3;6"
"2013-08-22 14_28_49","7888","10808","86",";3;9"
"2013-08-22 14_28_50","9349","8815","33",";7;2"
"2013-08-22 14_28_50","7646","13582","88",";3;1"
"2013-08-22 14_28_50","8348","11701","23",";7;9"
"2013-08-22 14_28_50","9547","9323","64",";7;6"
"2013-08-22 14_28_50","8557","13298","42",";7;1"
"2013-08-22 14_28_50","9349","9377","44",";7;2"
"2013-08-22 14_28_50","7888","11668","12",";3;9"
"2013-08-22 14_28_51","9547","9802","32",";7;6"
"2013-08-22 14_28_51","8186","14082","59",";8;1"
"2013-08-22 14_28_51","8174","8663","14",";3;2"
"2013-08-22 14_28_51","8348","12681","93",";7;9"
"2013-08-22 14_28_51","8997","9928","69",";7;6"
"2013-08-22 14_28_51","8557","14088","110",";7;1"
"2013-08-22 14_28_51","7888","12667","102",";3;9"
"2013-08-22 14_28_51","8777","9964","22",";7;2"
"2013-08-22 14_28_52","8997","10501","54",";7;6"
"2013-08-22 14_28_52","8186","15063","84",";8;1"
"2013-08-22 14_28_52","7459","13057","51",";3;9"
"2013-08-22 14_28_52","8274","9902","71",";8;2"
"2013-08-22 14_28_52","8557","15088","11",";7;1"
"2013-08-22 14_28_52","8516","10516","18",";8;6"
"2013-08-22 14_28_52","7459","13268","105",";3;9"
"2013-08-22 14_28_53","7602","9898","27",";3;2"
"2013-08-22 14_28_53","8186","15952","65",";8;1"
"2013-08-22 14_28_53","7459","13669","39",";3;9"
"2013-08-22 14_28_53","8997","11541","16",";7;6"
"2013-08-22 14_28_53","7602","10498","99",";3;2"
"2013-08-22 14_28_53","8997","9073","45",";7;1"
"2013-08-22 14_28_53","7459","14056","36",";3;9"
"2013-08-22 14_28_54","7866","11142","30",";3;6"
"2013-08-22 14_28_54","8997","9497","95",";7;1"
"2013-08-22 14_28_54","7602","11015","29",";3;2"
"2013-08-22 14_28_54","7459","14494","97",";3;9"
"2013-08-22 14_28_54","8447","12397","107",";7;6"
"2013-08-22 14_28_54","8997","9898","106",";7;1"
"2013-08-22 14_28_54","8317","14693","79",";3;9"
"2013-08-22 14_28_54","8174","11557","89",";3;2"
"2013-08-22 14_28_55","7866","12314","67",";3;6"
"2013-08-22 14_28_55","8997","10289","68",";7;1"
"2013-08-22 14_28_55","9635","14607","100",";7;9"
"2013-08-22 14_28_55","8174","11772","60",";3;2"
"2013-08-22 14_28_55","8557","10582","53",";7;1"
"2013-08-22 14_28_55","8447","13589","37",";7;6"
"2013-08-22 14_28_55","8317","15685","75",";3;9"
"2013-08-22 14_28_56","8846","11855","81",";8;2"
"2013-08-22 14_28_56","8557","11056","50",";7;1"
"2013-08-22 14_28_56","9635","15521","34",";7;9"
"2013-08-22 14_28_56","8416","12715","77",";3;6"
"2013-08-22 14_28_56","8557","11400","91",";7;1"
"2013-08-22 14_28_56","8174","12915","73",";3;2"
"2013-08-22 14_28_56","7888","16526","49",";3;9"
"2013-08-22 14_28_57","8997","8789","92",";7;6"
"2013-08-22 14_28_57","8557","11682","26",";7;1"
"2013-08-22 14_28_57","8174","13273","87",";3;2"
"2013-08-22 14_28_57","9635","16501","78",";7;9"
"2013-08-22 14_28_57","8997","9381","41",";7;6"
"2013-08-22 14_28_57","7746","11589","24",";8;1"
"2013-08-22 14_28_57","8746","17378","80",";3;9"
"2013-08-22 14_28_57","9418","13498","57",";8;2"
"2013-08-22 14_28_58","9516","10323","72",";3;6"
"2013-08-22 14_28_58","7646","11956","56",";3;1"
"2013-08-22 14_28_58","8317","8157","63",";3;9"
"2013-08-22 14_28_58","8174","14363","62",";3;2"
"2013-08-22 14_28_58","8117","13052","19",";7;1"
"2013-08-22 14_28_58","8997","10477","55",";7;6"
"2013-08-22 14_28_58","8417","9007","101",";8;9"
"2013-08-22 14_28_59","7633","6977","44",";7;2"
"2013-08-22 14_28_59","8086","12789","83",";3;1"
"2013-08-22 14_28_59","7888","9056","109",";3;9"
"2013-08-22 14_28_59","9516","11405","66",";3;6"
"2013-08-22 14_28_59","8117","13956","76",";7;1"
"2013-08-22 14_28_59","7633","7463","12",";7;2"
"2013-08-22 14_28_59","7888","9483","104",";3;9"
"2013-08-22 14_29_00","8997","11399","82",";7;6"
"2013-08-22 14_29_00","7746","14055","52",";8;1"
"2013-08-22 14_29_00","7633","7878","32",";7;2"
"2013-08-22 14_29_00","8417","10294","17",";8;9"
"2013-08-22 14_29_00","8997","11914","103",";7;6"
"2013-08-22 14_29_00","8086","14080","108",";3;1"
"2013-08-22 14_29_00","7888","10186","13",";3;9"
"2013-08-22 14_29_00","7633","8280","59",";7;2"
"2013-08-22 14_29_01","8447","12382","74",";7;6"
"2013-08-22 14_29_01","8117","15372","15",";7;1"
"2013-08-22 14_29_01","7888","10668","35",";3;9"
"2013-08-22 14_29_01","7061","8701","93",";7;2"
"2013-08-22 14_29_01","8526","14963","38",";3;1"
"2013-08-22 14_29_01","8447","12928","61",";7;6"
"2013-08-22 14_29_01","7459","11083","85",";3;9"
"2013-08-22 14_29_02","7130","8863","102",";8;2"
"2013-08-22 14_29_02","8526","15400","94",";3;1"
"2013-08-22 14_29_02","7459","11369","43",";3;9"
"2013-08-22 14_29_02","8447","13198","48",";7;6"
"2013-08-22 14_29_02","8966","15682","90",";3;1"
"2013-08-22 14_29_02","7061","9902","14",";7;2"
"2013-08-22 14_29_02","7459","11676","98",";3;9"
"2013-08-22 14_29_03","8447","13781","40",";7;6"
"2013-08-22 14_29_03","8966","15998","20",";3;1"
"2013-08-22 14_29_03","7061","10302","69",";7;2"
"2013-08-22 14_29_03","7030","12078","25",";3;9"
"2013-08-22 14_29_03","7966","13878","28",";8;6"
"2013-08-22 14_29_03","8966","16456","58",";3;1"
"2013-08-22 14_29_03","6632","12000","64",";7;9"
"2013-08-22 14_29_03","6558","10563","22",";8;2"
"2013-08-22 14_29_04","8447","14822","46",";7;6"
"2013-08-22 14_29_04","9406","16880","31",";3;1"
"2013-08-22 14_29_04","7030","13008","86",";3;9"
"2013-08-22 14_29_04","7061","11389","110",";7;2"
"2013-08-22 14_29_04","9406","17082","96",";3;1"
"2013-08-22 14_29_04","7966","14977","21",";8;6"
"2013-08-22 14_29_04","6632","13001","23",";7;9"
"2013-08-22 14_29_05","6558","11478","54",";8;2"
"2013-08-22 14_29_05","9406","17552","47",";3;1"
"2013-08-22 14_29_05","7030","13721","33",";3;9"
"2013-08-22 14_29_05","7897","15922","70",";7;6"
"2013-08-22 14_29_05","6458","11701","71",";3;2"
"2013-08-22 14_29_05","9877","9997","95",";7;1"
