time_block,EXPECTED_TIME_TO_SERVE_COMPOSITION,REAL_TIME_TO_SERVE_COMPOSITION,ClientAgent,SERVICES_ENGAGED,run
2014-05-07 13_55_42_331,37323,322724,747,;147;22;131
2014-05-07 13_51_40_683,20090,65834,2278,;2268;1866
2014-05-07 13_52_04_414,20881,110105,238,;45;171
2014-05-07 13_53_13_449,20094,172542,898,;1113;3599
2014-05-07 13_53_15_046,30214,154740,2818,;2640;3443;1616
2014-05-07 13_53_42_317,20056,192304,1798,;1113;2268
2014-05-07 13_53_43_275,30193,178969,3298,;2812;3295;3265
2014-05-07 13_55_29_375,30238,302158,1558,;939;1351;3265
2014-05-07 13_52_19_796,20124,117748,1026,;1113;3008
2014-05-07 13_52_22_126,30691,96718,3306,;1051;3295;2370
2014-05-07 13_52_24_146,30767,98744,3246,;1589;1849;1616
2014-05-07 13_52_57_763,20372,149693,1626,;876;2416
2014-05-07 13_53_14_683,20309,171940,1086,;939;1137
2014-05-07 13_53_42_771,20895,177374,3186,;1678;3823
2014-05-07 13_54_24_653,20245,249345,306,;147;45
2014-05-07 13_54_44_970,20514,245448,2706,;917;2683
2014-05-07 13_54_56_642,20479,264641,1926,;827;1866
2014-05-07 13_55_26_846,30383,288137,2646,;1254;1351;1616
2014-05-07 13_51_22_288,26999,63744,635,;633;636
2014-05-07 13_51_43_616,20465,90707,155,;147;288
2014-05-07 13_52_46_326,30383,130869,2315,;1254;1351;2370
2014-05-07 13_53_03_983,30298,143962,2795,;2640;1137;3237
2014-05-07 13_53_12_432,20164,147272,3335,;2792;2450
2014-05-07 13_53_12_616,20411,159007,2135,;1254;3295
2014-05-07 13_53_56_421,20058,194304,3095,;2640;2207
2014-05-07 13_54_57_746,30079,250745,3515,;2812;1866;1616
2014-05-07 13_55_19_272,20074,270939,3695,;2812;1351
2014-05-07 13_52_02_751,20650,77552,1571,;1011;3599
2014-05-07 13_52_42_672,20613,117474,1871,;1024;1351
2014-05-07 13_52_56_426,30773,131227,1931,;1024;3832;2370
2014-05-07 13_53_26_726,30627,161527,2651,;1024;2207;2370
2014-05-07 13_51_56_600,20125,75699,2906,;2792;2416
2014-05-07 13_52_13_772,21489,117166,446,;502;391
2014-05-07 13_53_32_817,20189,191310,986,;939;3295
2014-05-07 13_54_15_645,30252,208437,3566,;2268;3832;1616
2014-05-07 13_54_55_131,30477,279621,326,;147;288;131
2014-05-07 13_51_53_731,20798,65093,3711,;1051;1849
2014-05-07 13_52_01_917,20646,77991,3291,;1589;3295
2014-05-07 13_54_02_970,20542,192752,3891,;2033;3823
2014-05-07 13_51_54_435,21080,100190,234,;45;312
2014-05-07 13_53_04_946,30248,142138,3174,;2268;1849;1616
2014-05-07 13_52_47_053,20490,131008,2259,;914;2268
2014-05-07 13_53_40_326,20054,174212,3459,;2792;2790
2014-05-07 13_53_46_320,20383,189088,2499,;1254;2207
2014-05-07 13_54_46_543,20524,246308,2799,;917;1866
2014-05-07 13_55_16_811,20045,268978,3639,;2812;2792
2014-05-07 13_52_12_626,22776,107058,1377,;59;2683
2014-05-07 13_52_35_572,21489,138663,417,;502;391
2014-05-07 13_53_06_621,20099,142412,3297,;2268;2207
2014-05-07 13_53_08_272,21489,170866,537,;502;391
2014-05-07 13_55_08_326,30046,265420,3177,;2640;2683;2370
2014-05-07 13_51_23_699,20570,71244,43,;147;216
2014-05-07 13_52_22_949,21101,116177,1483,;556;3599
2014-05-07 13_52_24_671,21489,127964,463,;502;391
2014-05-07 13_54_03_817,30646,207506,2383,;917;1866;2088
2014-05-07 13_54_46_510,20045,238900,3583,;2812;2792
2014-05-07 13_52_37_398,20142,109453,3659,;2683;2416
2014-05-07 13_53_20_126,20047,172812,1559,;1113;2790
2014-05-07 13_53_53_771,20142,210454,1079,;939;2683
2014-05-07 13_56_17_435,20038,328329,3779,;2812;1113
2014-05-07 13_51_22_384,20279,40612,2509,;1849;3599
2014-05-07 13_51_32_821,20365,67412,1369,;876;2283
2014-05-07 13_51_39_627,36226,80920,649,;645;0
2014-05-07 13_51_50_311,31547,94105,409,;502;391;572
2014-05-07 13_52_11_871,20167,90137,2029,;2283;3823
2014-05-07 13_52_13_531,30582,120522,109,;147;216;131
2014-05-07 13_53_06_239,20637,156406,1729,;827;3443
2014-05-07 13_53_16_720,20488,168753,1609,;827;2207
2014-05-07 13_53_33_649,20118,171037,3169,;2683;3599
2014-05-07 13_52_01_789,30196,100437,942,;939;3295;1616
2014-05-07 13_52_50_120,20153,144196,1422,;1113;3947
2014-05-07 13_53_02_517,20086,145207,2502,;2640;3295
2014-05-07 13_53_10_026,20054,144717,3402,;2792;2790
2014-05-07 13_54_07_475,30122,201268,3462,;2812;1113;3265
2014-05-07 13_55_15_279,30349,299370,342,;147;45;4
2014-05-07 13_55_26_910,20045,278398,3702,;2812;2792
2014-05-07 13_51_07_811,29063,49967,581,;0;579
2014-05-07 13_52_53_250,20285,141640,1961,;1137;3599
2014-05-07 13_52_55_226,20071,133808,2981,;2683;2790
2014-05-07 13_52_57_472,21489,160263,461,;502;391
2014-05-07 13_53_16_183,30774,161972,2201,;917;3443;3237
2014-05-07 13_54_36_372,20074,229604,3461,;2812;1351
2014-05-07 13_50_54_059,20881,41800,68,;45;171
2014-05-07 13_52_40_154,20148,112041,3608,;2683;3008
2014-05-07 13_52_52_775,30158,127769,3368,;2812;1351;3265
2014-05-07 13_53_06_526,30538,150946,2168,;1254;1137;2370
2014-05-07 13_53_14_631,30257,180824,248,;147;45;131
2014-05-07 13_53_23_735,20118,179922,1208,;939;1113
2014-05-07 13_54_23_239,30211,222830,2828,;2268;3823;1584
2014-05-07 13_54_35_135,20118,248919,1448,;939;1113
2014-05-07 13_51_43_531,20762,62049,2601,;1024;1849
2014-05-07 13_52_01_926,30655,80457,2361,;1024;3295;2370
2014-05-07 13_54_33_339,30656,219494,3441,;2033;3295;1584
2014-05-07 13_51_51_683,30181,90638,895,;939;3823;1616
2014-05-07 13_52_02_340,20307,100533,1015,;939;3832
2014-05-07 13_52_23_752,20570,130444,175,;147;216
2014-05-07 13_53_25_146,30088,160335,3355,;2812;2207;1616
2014-05-07 13_53_32_671,20071,176261,2395,;2640;3823
2014-05-07 13_53_54_035,20015,192227,3055,;2640;1113
2014-05-07 13_55_57_145,30159,331031,1435,;939;1866;1616
2014-05-07 13_51_30_648,30677,68337,1042,;827;1402;1616
2014-05-07 13_51_31_563,41556,72254,682,;679;684;676
2014-05-07 13_51_54_626,21054,88666,1342,;556;2790
2014-05-07 13_52_24_926,20272,105113,2782,;1402;2790
2014-05-07 13_52_43_149,20523,114000,3142,;1820;3599
2014-05-07 13_53_04_643,20374,147735,1582,;1254;1866
2014-05-07 13_53_20_956,20158,145465,3922,;1866;3008
2014-05-07 13_53_55_143,20374,198227,1642,;1254;1866
2014-05-07 13_51_21_376,22808,53061,1651,;59;3823
2014-05-07 13_51_24_599,38236,64892,751,;23;312
2014-05-07 13_51_56_517,20092,75078,2671,;1351;2268
2014-05-07 13_52_12_017,22823,99102,2071,;59;3295
2014-05-07 13_52_21_971,20669,100536,2431,;1051;3823
2014-05-07 13_55_46_226,30045,297807,3691,;2812;1113;2370
2014-05-07 13_51_10_069,21822,54323,385,;502;413
2014-05-07 13_51_17_139,36982,57732,745,;743;744
2014-05-07 13_52_24_999,21080,130190,265,;45;312
2014-05-07 13_52_43_622,20545,128216,2305,;914;2283
2014-05-07 13_54_16_620,20488,225707,1885,;827;2207
2014-05-07 13_55_37_011,20125,308793,1645,;939;2792
2014-05-07 13_51_21_766,46956,63518,576,;579;0
2014-05-07 13_52_23_422,20111,122215,936,;1113;2283
